bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_e0038	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_f0038	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_h0038	bnchmk_i0036	bnchmk_i0038	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0024	bnchmk_l0025	bnchmk_l0026	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0014	bnchmk_u0015	bnchmk_u0016	bnchmk_u0017	bnchmk_u0018	bnchmk_u0036
H6328_001_0	2018	5	15806.97983	880.9250203	0.011432002	1.217517578	1.203598914	1060.280398	836.39	694.91	223.89	145.53	0	15806.97983	20.61139872	15685.55611	1.217517578	1.217517578	1.217517578	121.4237211	1.217517578		0	880.9250203	880.9250203	1072.541697	1072.541697	1	694.907573	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.072984237	0.182691857	0.212279473	n/a	n/a	n/a	13158.76051	0.833552097	15786.36843	74.39524947	117.6249215	20.61139872	15999	"Fort Worth-Arlington, TX"
H6328_002_0	2018	4	46022.96457	882.0797507	0.010126839	1.140584507	1.129033991	995.8980213	769.57	681.62	226.33	147.11	0	46022.96457	218.1718901	45616.91313	1.140584507	1.140584507	1.140584507	406.0514346	1.140584507		0	882.0797507	882.0797507	1006.086497	1006.086497	1	681.6180967	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.072989621	0.182504179	0.212279473	n/a	n/a	n/a	36717.13604	0.801600311	45804.79268	174.3859059	168.6495274	218.1718901	46366	"Fort Worth-Arlington, TX"
H6328_003_0	2018	4	74949.23056	885.2638435	0.009507676	0.900777732	0.892213429	789.8442894	589	660.16	200.84	130.55	0	74949.23056	385.2304869	73483.47133	0.900777732	0.900777732	0.900777732	1465.759228	0.900777732		0	885.2638435	885.2638435	797.4259573	797.4259573	1	660.1559457	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.0730047	0.181983343	0.212279473	n/a	n/a	n/a	53131.31684	0.712559905	74564.00007	159.9564307	217.813012	385.2304869	75327	"Fort Worth-Arlington, TX"
H6328_005_0	2018	3	3612.844897	882.516589	0.01960727	0.845185604	0.828613822	731.2654436	636.82	768.54	94.45	61.39	0	3612.844897	17.24508304	3600.246457	0.845185604	0.845185604	0.845185604	12.59843982	0.845185604		0	882.516589	882.516589	745.8903166	745.8903166	1	768.5365405	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.072992898	0.182390379	0.212279473	n/a	n/a	n/a	2812.448621	0.782191781	3595.599814	21.51084918	15.64425395	17.24508304	3650	"Fort Worth-Arlington, TX"
H6348_001_0	2018	2	6149.878	884.4076261	0	0.993038773	0.993038773	878.2510637	700.81	705.72	177.44	115.34	0	6149.878	0	5534.8902	0.932900636	0.993038773	0	614.9878	1.534282001		0	884.4076261		878.2510637		1	705.722696	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.076475733	0.181889377	0.212279473	n/a	n/a	n/a	5577.948888	0.907001552	6149.878	30.935	6.187	0	6187	"Indianapolis-Carmel-Anderson, IN"
H6348_002_0	2018	2	4995.844	889.6444252	0	0.974337644	0.974337644	866.8140529	680.22	698.14	186.59	121.28	0	4995.844	0	4496.2596	0.92105869	0.974337644	0	499.5844	1.45384823		0	889.6444252		866.8140529		1	698.13581	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.080598511	0.187093333	0.212279473	n/a	n/a	n/a	4995.844	1	4995.844	25.13	5.026	0	5026	Not in Metro Area
H6348_003_0	2018	2	2300.116	915.63	0	0.985583632	0.985583632	902.4299408	721.92	732.48	180.51	117.33	0	2300.116	0	2070.1044	0.927448546	0.985583632	0	230.0116	1.508799401		0	915.63		902.4299408		1	732.479697	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.080598511	0.187093333	0.212279473	n/a	n/a	n/a	2300.116	1	2300.116	11.57	2.314	0	2314	Not in Metro Area
H6351_001_0	2018	4	5760	846.3199583	0	1.979889895	1.979889895	1675.620333	1569.17	792.55	106.45	69.19	0	5760	0	1152	1.86299367	1.979889895	0	4608	2.009113951		0	846.3199583		1675.620333		1	792.5541738	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.081753859	0.176443806	0.212279473	n/a	n/a	n/a	3972	0.689583333	5760	0	0	0	5760	Not in Metro Area
H6396_001_0	2018	8	10909.4239	887.6082012	0	0.940915297	0.940915297	835.1641341	729.33	775.13	105.83	68.79	0	10909.4239	138.2782215	8762.472565	0.869892251	0.940915297	0.940915297	2146.951334	1.230785625		0	887.6082012	887.6082012	835.1641341	835.1641341	1	775.1282208	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.083371827	0.1682879	0.212279473	n/a	n/a	n/a	4709.967465	0.437276368	10771.14568	0	0	138.2782215	10909.4239	n/a
H6396_002_0	2018	8	8199.7252	888.8211129	0	1.036700341	1.036700341	921.4411504	784.9	757.11	136.54	88.75	0	8199.7252	137.9264121	7599.745307	1.006028997	1.036700341	1.036700341	599.9798927	1.425204023		0	888.8211129	888.8211129	921.4411504	921.4411504	1	757.1136705	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.083149849	0.168122327	0.212279473	n/a	n/a	n/a	3174.626482	0.39378637	8061.798788	27.58528242	34.48160303	137.9264121	8261.792086	n/a
H6396_004_0	2018	8	9482.297557	888.3673585	0	0.857789827	0.857789827	762.0324824	650.55	758.4	111.48	72.46	0	9482.297557	130.6480447	8038.292853	0.807046176	0.857789827	0.857789827	1444.004704	1.140262815		0	888.3673585	888.3673585	762.0324824	762.0324824	1	758.4025595	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.08349106	0.168955797	0.212279473	n/a	n/a	n/a	3663.700112	0.391770469	9351.649512	0	20.62863863	130.6480447	9502.926195	n/a
H6453_001_0	2018	6	24963.12678	865.3097352	0.006842563	0.88319845	0.877155109	759.0108551	523.46	596.77	235.55	153.11	0	24963.12678	62.07718844	24412.52911	0.88319845	0.88319845	0.726950809	550.5976714	0.88319845		0	865.3097352	865.3097352	764.2402167	629.037612	1	596.770166	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.078193539	0.207331042	0.212279473	n/a	n/a	n/a	24901.04959	1	24901.04959	32.38809832	40.4851229	62.07718844	25036	"Baton Rouge, LA"
H6453_002_0	2018	6	25625.95491	838.0904612	0.007851491	0.834364433	0.827813428	693.782538	483.7	584.31	210.08	136.55	0	25625.95491	117.5502519	24462.8261	0.834364433	0.834364433	1.845530277	1163.128808	0.834364433		0	838.0904612	838.0904612	699.2728725	1546.721321	1	584.3104055	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.078627547	0.210725416	0.212279473	n/a	n/a	n/a	23905.7859	0.937172913	25508.40465	0	167.0450947	117.5502519	25793	"New Orleans-Metairie, LA"
H6453_003_0	2018	6	24118.31795	896.9209715	0.010211249	0.929037005	0.919550376	824.764017	599.13	651.55	225.63	146.66	0	24118.31795	210.2166499	22986.38215	0.929037005	0.929037005	0.786895278	1131.935807	0.929037005		0	896.9209715	896.9209715	833.2727729	705.7828774	1	651.5466856	0.665	0.335	1		New contract under new parent org	0.65	0.4434		N/A		0.5566	0.078554224	0.213220471	0.212279473	n/a	n/a	n/a	18905.99178	0.790777634	23908.1013	24.2557673	40.42627884	210.2166499	24183	"New Orleans-Metairie, LA"
