bid_id	contract_year	version	msa_bnchmk_b0039	msa_bnchmk_c0039	msa_bnchmk_d0039	msa_bnchmk_e0039	msa_bnchmk_f0039	msa_bnchmk_g0039	msa_bnchmk_h0039
H1181_001_0	2018	5	52120	WI	Dane	629.6000761	0.640623018	818.27	524.202597
H1181_001_0	2018	5	52110	WI	Crawford	52.10483389	0.640623018	827.87	530.352578
H1181_001_0	2018	5	52100	WI	Columbia	377.7600457	0.640623018	857.45	549.3022068
H1181_001_0	2018	5	52090	WI	Clark	26.05241694	0.640623018	823.26	527.3993058
H1181_001_0	2018	5	52080	WI	Chippewa	108.5517373	0.640623018	826.69	529.5966428
H1181_001_0	2018	5	52070	WI	Calumet	503.1009082	0.640623018	887	568.232617
H1181_001_0	2018	5	52060	WI	Burnett	13.02620847	0.640623018	822.12	526.6689956
H1181_001_0	2018	5	52050	WI	Buffalo	0	0	819.96	0
H1181_001_0	2018	5	52040	WI	Brown	955.9520064	0.640623018	847.86	543.1586321
H1181_001_0	2018	5	52030	WI	Bayfield	0	0	826.9	0
H1181_001_0	2018	5	52020	WI	Barron	13.02620847	0.640623018	826.4	529.4108621
H1181_001_0	2018	5	52010	WI	Ashland	26.05241694	0.640623018	828.27	530.6088272
H1181_001_0	2018	5	52000	WI	Adams	169.3407101	0.640623018	786.27	503.7026604
H4388_001_0	2018	3	52700	WI	Wood	2444.185847	0.711877901	822.32	585.3914356
H4388_001_0	2018	3	52690	WI	Winnebago	2205.04733	0.711877901	809.86	576.5214369
H4388_001_0	2018	3	52680	WI	Waushara	456.0482142	0.711877901	825.68	587.7833453
H4388_001_0	2018	3	52670	WI	Waupaca	606.4866617	0.711877901	817.68	582.0883221
H4388_001_0	2018	3	52660	WI	Waukesha	680.254897	0.711877901	908.21	646.5346285
H4388_001_0	2018	3	52650	WI	Washington	251.5609619	0.711877901	909.91	647.7448209
H4388_001_0	2018	3	52640	WI	Washburn	420.4432495	0.711877901	825.95	587.9755524
H4388_001_0	2018	3	52630	WI	Walworth	447.2194878	0.711877901	822.23	585.3273666
H4388_001_0	2018	3	52620	WI	Vilas	1118.284159	0.711877901	826.4	588.2958974
H4388_001_0	2018	3	52610	WI	Vernon	866.4877576	0.711877901	816.88	581.5188198
H4388_001_0	2018	3	52600	WI	Trempealeau	1200.686435	0.711877901	820.59	584.1598868
H4388_001_0	2018	3	52590	WI	Taylor	1574.384635	0.711877901	825.57	587.7050387
H4388_001_0	2018	3	52580	WI	Sheboygan	111.8048719	0.711877901	819.72	583.540553
H4388_001_0	2018	3	52570	WI	Shawano	705.7521006	0.711877901	827.13	588.8155683
H4388_001_0	2018	3	52560	WI	Sawyer	515.4248318	0.711877901	825.91	587.9470772
H4388_001_0	2018	3	52550	WI	Sauk	408.7320507	0.711877901	812.2	578.1872312
H4388_001_0	2018	3	52540	WI	St Croix	642.8780137	0.711877901	893.79	636.2693492
H4388_001_0	2018	3	52530	WI	Rusk	622.4256146	0.711877901	827.62	589.1643884
H4388_001_0	2018	3	52520	WI	Rock	531.0731418	0.711877901	817.29	581.8106897
H4388_001_0	2018	3	52510	WI	Richland	360.679247	0.711877901	815.14	580.2801522
H4388_001_0	2018	3	52500	WI	Racine	111.8048719	0.711877901	890.79	634.1337155
H4388_001_0	2018	3	52490	WI	Price	661.9265471	0.711877901	826.3	588.2247096
H4388_001_0	2018	3	52480	WI	Portage	774.199192	0.711877901	826.5	588.3670852
H4388_001_0	2018	3	52470	WI	Polk	503.1219238	0.711877901	904.4	643.8223737
H4388_001_0	2018	3	52460	WI	Pierce	83.85365396	0.711877901	906.53	645.3386736
H4388_001_0	2018	3	52450	WI	Pepin	438.9711681	0.711877901	883.83	629.1790453
H4388_001_0	2018	3	52440	WI	Ozaukee	447.2194878	0.711877901	907.15	645.7800379
H4388_001_0	2018	3	52430	WI	Outagamie	3529.628247	0.711877901	805.79	573.6240939
H4388_001_0	2018	3	52420	WI	Oneida	1728.679914	0.711877901	827.68	589.2071011
H4388_001_0	2018	3	52410	WI	Oconto	949.9863494	0.711877901	917.64	653.2476371
H4388_001_0	2018	3	52400	WI	Monroe	3493.902248	0.711877901	816.96	581.57577
H4388_001_0	2018	3	52390	WI	Milwaukee	1257.804809	0.711877901	901.27	641.5941959
H4388_001_0	2018	3	52381	WI	Menominee	0	0.711877901	828.82	590.0186419
H4388_001_0	2018	3	52380	WI	Marquette	293.0995055	0.711877901	811.08	577.389928
H4388_001_0	2018	3	52370	WI	Marinette	924.8798974	0.711877901	829.6	590.5739067
H4388_001_0	2018	3	52360	WI	Marathon	6974.904262	0.711877901	751.93	535.2823501
H4388_001_0	2018	3	52350	WI	Manitowoc	503.1219238	0.711877901	829.97	590.8373015
H4388_001_0	2018	3	52340	WI	Lincoln	1425.410927	0.711877901	826.62	588.4525105
H4388_001_0	2018	3	52330	WI	Langlade	1072.742399	0.711877901	827.18	588.8511622
H4388_001_0	2018	3	52320	WI	Lafayette	83.85365396	0.711877901	856.68	609.8515603
H4388_001_0	2018	3	52310	WI	La Crosse	2851.024235	0.711877901	760.28	541.2265306
H4388_001_0	2018	3	52300	WI	Kewaunee	186.5932172	0.711877901	917.87	653.411369
H4388_001_0	2018	3	52290	WI	Kenosha	335.4146158	0.711877901	867.86	617.8103552
H4388_001_0	2018	3	52280	WI	Juneau	1455.539441	0.711877901	813.59	579.1767415
H4388_001_0	2018	3	52270	WI	Jefferson	664.827402	0.711877901	817.77	582.1523911
H4388_001_0	2018	3	52260	WI	Jackson	842.3285761	0.711877901	821.46	584.7792206
H4388_001_0	2018	3	52250	WI	Iron	456.22241	0.711877901	827.44	589.0362504
H4388_001_0	2018	3	52240	WI	Iowa	86.95934485	0.711877901	870.62	619.7751382
H4388_001_0	2018	3	52230	WI	Green Lake	111.8048719	0.711877901	823.87	586.4948463
H4388_001_0	2018	3	52220	WI	Green	221.1561847	0.711877901	815.28	580.3798151
H4388_001_0	2018	3	52210	WI	Grant	111.8048719	0.711877901	818.15	582.4229047
H4388_001_0	2018	3	52200	WI	Forest	165.7420818	0.711877901	826.8	588.5806486
H4388_001_0	2018	3	52190	WI	Fond Du Lac	838.5365396	0.711877901	801.92	570.8691264
H4388_001_0	2018	3	52180	WI	Florence	387.4131984	0.711877901	827.58	589.1359133
H4388_001_0	2018	3	52170	WI	Eau Claire	1687.757545	0.711877901	825.12	587.3846937
H4388_001_0	2018	3	52160	WI	Dunn	442.6646148	0.711877901	851.79	606.3704773
H4388_001_0	2018	3	52150	WI	Douglas	711.0823971	0.711877901	859.55	611.8946498
H4388_001_0	2018	3	52140	WI	Door	223.6097439	0.711877901	830.03	590.8800142
H4388_001_0	2018	3	52130	WI	Dodge	754.6828857	0.711877901	814.73	579.9882823
H4388_001_0	2018	3	52120	WI	Dane	2590.401551	0.711877901	828.62	589.8762663
H4388_001_0	2018	3	52110	WI	Crawford	335.4146158	0.711877901	827.87	589.3423579
H4388_001_0	2018	3	52100	WI	Columbia	508.3859287	0.711877901	868.31	618.1307002
H4388_001_0	2018	3	52090	WI	Clark	1103.615032	0.711877901	823.26	586.0606008
H4388_001_0	2018	3	52080	WI	Chippewa	1643.39958	0.711877901	826.69	588.502342
H4388_001_0	2018	3	52070	WI	Calumet	1124.875825	0.711877901	908.81	646.9617552
H4388_001_0	2018	3	52060	WI	Burnett	156.3578251	0.711877901	822.12	585.24906
H4388_001_0	2018	3	52050	WI	Buffalo	1270.289687	0.711877901	819.96	583.7114037
H4388_001_0	2018	3	52040	WI	Brown	3237.698233	0.711877901	868.71	618.4154514
H4388_001_0	2018	3	52030	WI	Bayfield	371.041264	0.711877901	826.9	588.6518364
H4388_001_0	2018	3	52020	WI	Barron	1593.037849	0.711877901	826.4	588.2958974
H4388_001_0	2018	3	52010	WI	Ashland	324.7246965	0.711877901	828.27	589.6271091
