bid_id	contract_year	version	summ_d0025	summ_d0027	summ_d0028	summ_d0029	summ_d0031	summ_d0032	summ_d0033	summ_d0034	summ_d0055	summ_e0014	summ_e0025	summ_e0027	summ_e0028	summ_e0029	summ_i0023	summ_i0025	summ_i0026	summ_i0027	summ_i0028	summ_i0029	summ_i0030	summ_j0023	summ_j0025	summ_j0026	summ_j0027	summ_j0028	summ_j0029	summ_j0030	summ_k0023	summ_k0025	summ_k0026	summ_k0027	summ_k0028	summ_k0029	summ_k0030	summ_l0013	summ_l0014	summ_l0023	summ_l0025	summ_l0026	summ_l0027	summ_l0028	summ_l0029	summ_l0030	summ_l0031	summ_m0025	summ_m0026	summ_m0027	summ_r0013	summ_r0014	summ_r0022	summ_r0024	summ_r0025	summ_r0027	summ_r0029	summ_r0030	summ_r0031	summ_r0035	summ_r0036	summ_r0041	summ_r0042
H7200_013_0	2018	7	*	83.09714288	*	797.5930458	833.2054348	947.9456598	1.142043328	1.137709405	08/05/2017 at 6:27 PM	109	*	3.207156123	*	30.78331374	n/a	*	*	0	28	16.4	*	n/a	1.610698383	1.596112498	n/a	n/a	n/a	3.206810881	n/a	*	*	n/a	n/a	n/a	*	0	0	75.18	15.46	15.32	0	28	16.4	75.18	0	15.46	15.32	109	15.46	15.32	30.78	-15.46	-15.32	0	0	0	0	28	28	16.4	16.4
H7200_014_0	2018	6	615.2527443	79.9048536	-7.450538538	687.7070593	829.83	880.7798171	1.065441123	1.061397897	08/05/2017 at 6:29 PM	109	36.1795146	4.698749977	-0.438123796	40.44014079	n/a	19.05590945	17.1234792	0	42.6	13.5	92.27938865	n/a	2.474852277	2.223881342	n/a	n/a	n/a	4.698733619	n/a	-0.23076173	-0.207360541	n/a	n/a	n/a	-0.438122271	0	0	96.54	21.3	19.14	0	42.6	13.5	96.54	0	21.3	19.14	109	21.3	19.14	40.44	-21.3	-19.14	0	0	0	0	42.6	42.6	13.5	13.5
H7220_002_0	2018	4	481.8221523	86.78825161	-17.53987372	551.0705302	861.1684949	680.4971266	0.793535398	0.790202069	07/12/2017 at 2:04 PM	109	55.19461474	9.941934153	-2.009261235	63.12728766	n/a	43.3322135	11.86477274	21	0	0	76.19698624	n/a	7.805218233	2.137143088	n/a	n/a	n/a	9.94236132	n/a	-1.577431733	-0.431915832	n/a	n/a	n/a	-2.009347565	21	21	84.13	49.56	13.57	21	0	0	84.13	0	49.56	13.57	109	49.56	13.57	63.13	-49.56	-13.57	0	0	0	0		0		0
H7220_004_0	2018	6	714.9112885	129.6697165	-27.47963436	817.1013706	875.8311152	1130.21345	1.29310325	1.290446789	08/03/2017 at 9:07 PM	109	176.8445306	32.07584004	-6.797518961	202.1228516	n/a	53.21359886	55.38343979	0	67.1	12.3	187.9970387	n/a	9.65181609	10.04537913	n/a	n/a	n/a	19.69719522	n/a	-2.045414954	-2.128818917	n/a	n/a	n/a	-4.174233871	0	0	203.52	60.82	63.3	0	67.1	12.3	203.52	0	60.82	141.3	109	60.82	63.3	202.12	-60.82	-63.3	78	0	78	78	67.1	67.1	12.3	12.3
H7220_009_1	2018	6	617.3673451	110.8756214	-22.60121327	705.6417532	838.7801235	827.8814563	0.990935393	0.987006527	08/03/2017 at 2:31 PM	109	53.68031514	9.640675598	-1.965183712	61.35580703	n/a	13.43849393	0	0	54.5	9.6	77.53849393	n/a	2.413476154	0	n/a	n/a	n/a	2.413476154	n/a	-0.491970089	0	n/a	n/a	n/a	-0.491970089	0	0	79.46	15.36	0	0	54.5	9.6	79.46	0	48.29	13.07	109	15.36	-7.10543E-15	61.36	-15.36	0	46	0	46	46	54.5	54.5	9.6	9.6
H7220_009_2	2018	6	607.9870471	110.2404381	-22.53816562	695.6893195	884.9585724	878.6744484	0.996851284	0.992898962	08/03/2017 at 2:33 PM	109	47.92687147	8.690118204	-1.776655888	54.84033379	n/a	36.07602503	11.85055473	0	54.5	9.6	112.0265798	n/a	6.541318309	2.148747003	n/a	n/a	n/a	8.690065311	n/a	-1.337343338	-0.439301736	n/a	n/a	n/a	-1.776645074	0	0	118.94	41.28	13.56	0	54.5	9.6	118.94	0	41.28	13.56	109	41.28	13.56	54.84	-41.28	-13.56	0	0	0	0	54.5	54.5	9.6	9.6
H7220_009_3	2018	6	716.3590039	129.3303814	-25.86040812	819.8289772	913.3349438	1033.521129	1.136094877	1.131590482	08/03/2017 at 4:37 PM	109	65.36304006	11.80054534	-2.359591884	74.80399351	n/a	52.35754372	13.00200685	0	54.5	9.6	129.4595506	n/a	9.452552509	2.347362839	n/a	n/a	n/a	11.79991535	n/a	-1.890096224	-0.46936969	n/a	n/a	n/a	-2.359465914	0	0	138.9	59.92	14.88	0	54.5	9.6	138.9	0	59.92	14.88	109	59.92	14.88	74.8	-59.92	-14.88	0	0	0	0	54.5	54.5	9.6	9.6
H7245_001_0	2018	17	433.8600736	126.0805197	-4.471525992	555.4690674	841.9687991	629.7002854	0.754334088	0.747890285	08/03/2017 at 8:51 AM	109	21.99049738	6.390478193	-0.226642382	28.1543332	n/a	15.5432876	6.44382526	0	20.1	0	42.08711286	n/a	4.516907403	1.87258724	n/a	n/a	n/a	6.389494643	n/a	-0.160195	-0.0664125	n/a	n/a	n/a	-0.2266075	0	0	48.25	19.9	8.25	0	20.1	0	48.25	0	19.9	8.25	109	19.9	8.25	28.15	-19.9	-8.25	0	0	0	0	20.1	20.1	0	0
H7245_002_0	2018	15	479.5057914	124.3928292	4.747439266	608.6460598	841.6106584	623.8919796	0.748193872	0.741307127	08/03/2017 at 8:53 AM	109	37.81777797	9.81064354	0.374422181	48.0028437	n/a	4.104561482	0	0	0	4.7	8.804561482	n/a	1.064800518	0	n/a	n/a	n/a	1.064800518	n/a	0.040638	0	n/a	n/a	n/a	0.040638	0	0	9.91	5.21	0	0	0	4.7	9.91	0	24.33	23.67	109	5.21	0	48	-5.21	0	42.79	0	42.79	42.8	0	0	4.7	4.7
H7245_003_0	2018	15	651.502068	127.974058	41.80311328	821.2792393	841.6106925	783.3458793	0.941540221	0.930769875	08/03/2017 at 8:55 AM	109	62.59437465	12.29536563	4.016318386	78.90605866	n/a	0	0	0	0	0	0	n/a	0	0	n/a	n/a	n/a	0	n/a	0	0	n/a	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0	55.65	23.26	109	0	0	78.91	0	0	78.91	40.76	119.67	119.7	0	0	0	0
H7245_005_0	2018	14	415.469808	122.8846413	-9.415120062	528.9393293	843.26	599.5764431	0.716385824	0.711022037	08/03/2017 at 8:57 AM	109	33.1693991	9.810603882	-0.751664426	42.22833855	n/a	14.04433317	16.2907981	0	0	7.3	37.63513127	n/a	4.15393083	4.818373904	n/a	n/a	n/a	8.972304734	n/a	-0.318264	-0.369172	n/a	n/a	n/a	-0.687436	0	0	45.92	17.88	20.74	0	0	7.3	45.92	0	17.88	24.35	109	17.88	20.74	42.23	-17.88	-20.74	3.61	0	3.61	3.6	0	0	7.3	7.3
H7301_002_0	2018	6	551.4655374	84.62221569	48.89417196	684.981925	870.8021102	795.593869	0.916291372	0.913633373	08/03/2017 at 3:34 PM	109	55.46824058	8.511584315	4.917938674	68.89776357	n/a	23.41978948	28.34688166	0	0	7.6	59.36667115	n/a	3.593759433	4.3498202	n/a	n/a	n/a	7.943579633	n/a	2.076451086	2.513298135	n/a	n/a	n/a	4.589749222	0	0	71.9	29.09	35.21	0	0	7.6	71.9	0	33.69	35.21	109	29.09000013	35.21	68.9	-29.09	-35.21	4.6	0	4.6	4.6	0	0	7.6	7.6
H7301_006_0	2018	3	*	86.81030849	*	696.7139768	874.3546176	797.2540677	0.91423113	0.911820046	08/03/2017 at 3:36 PM	109	*	4.815491513	*	38.64771709	n/a	*	*	0	18.9	7.8	*	n/a	2.24030147	2.575474493	n/a	n/a	n/a	4.815775964	n/a	*	*	n/a	n/a	n/a	*	0	0	65.35	17.98	20.67	0	18.9	7.8	65.35	0	17.98	20.67	109	17.98000013	20.67	38.65	-17.98	-20.67	0	0	0	0	18.9	18.9	7.8	7.8
