,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
3860,INS001,17575,0,1.0,4,0,8000,0,311,0,0,500,4000,0,0,70.85232138633731,0,0,1,3
3861,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3862,INS001,17575,0,1.0,4,0,8000,0,311,0,0,500,4000,0,0,70.85232138633731,0,0,1,3
3863,INS001,17575,0,1.0,3,0,7400,0,351,0,0,500,3700,0,0,72.8984713554382,0,0,1,2
3864,INS001,17575,0,1.0,1,0,2300,0,0,0,0,0,1150,0,0,87.46,0,0,1,1
3865,INS001,17575,0,1.0,500,0,1000,0,0,0,0,0,500,0,0,93.96,0,0,500,500
3866,INS001,17575,0,1.0,6,0,13700,0,266,0,0,0,6850,0,0,58.5495233535767,0,0,1,5
3867,INS001,17575,0,1.0,6,0,13700,0,266,0,0,0,6850,0,0,58.5495233535767,0,0,1,5
3868,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3869,INS001,17575,0,1.0,6,0,13700,0,266,0,0,0,6850,0,0,58.5495233535767,0,0,1,5
3870,INS001,17575,0,1.0,6,0,13700,0,830,0,0,0,6850,0,0,58.285099267959595,0,0,1,4
3871,INS001,17575,0,1.0,6,0,13700,0,830,0,0,0,6850,0,0,58.285099267959595,0,0,1,4
3872,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3873,INS001,17575,0,1.0,6,0,13700,0,830,0,0,0,6850,0,0,58.285099267959595,0,0,1,4
3874,INS001,17575,0,1.0,6,0,13700,0,0,0,0,0,6850,0,0,59.0237438678741,0,0,1,6
3875,INS001,17575,0,1.0,6,0,13700,0,0,0,0,0,6850,0,0,59.0237438678741,0,0,1,6
3876,INS019,17575,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3877,INS001,17575,0,1.0,5,0,10500,0,688,0,0,65,5250,0,0,68.3814525604248,50,0,424,4
