,Column_Name,Categories,Missing_Values,Unique_Values
151,GD_CopayInnTier1A,0,11380,32
152,GD_CopayInnTier2Complex,0,0,1
153,GD_CopayInnTier2,0,0,5
154,GD_CopayInnTier2A,0,65292,26
155,GD_CoinsInn_TIERS,0,0,2
156,GD_CoinsInnTier1Complex,0,0,1
157,GD_CoinsInnTier1,0,0,4
158,GD_CoinsInnTier1A,0,63099,14
159,GD_CoinsInnTier2Complex,0,0,1
160,GD_CoinsInnTier2,0,0,3
161,GD_CoinsInnTier2A,0,70123,11
162,GD_CopayOutofNetComplex,0,0,1
163,GD_CopayOutofNet,0,0,6
164,GD_CopayOutofNetA,0,60756,21
165,GD_CoinsOutofNetComplex,0,0,1
166,GD_CoinsOutofNet,0,0,4
167,GD_CoinsOutofNetA,0,13696,15
168,HA_LIMITED,0,0,2
169,HA_CopayInn_TIERS,0,0,2
170,HA_CopayInnTier1Complex,0,0,2
171,HA_CopayInnTier1,0,0,6
172,HA_CopayInnTier1A,0,40971,32
173,HA_CopayInnTier2Complex,0,0,1
174,HA_CopayInnTier2,0,0,5
175,HA_CopayInnTier2A,0,69754,24
176,HA_CoinsInn_TIERS,0,0,2
177,HA_CoinsInnTier1Complex,0,0,2
178,HA_CoinsInnTier1,0,0,4
179,HA_CoinsInnTier1A,0,33516,17
180,HA_CoinsInnTier2Complex,0,0,1
181,HA_CoinsInnTier2,0,0,3
182,HA_CoinsInnTier2A,0,69330,11
183,HA_CopayOutofNetComplex,0,0,1
184,HA_CopayOutofNet,0,0,5
185,HA_CopayOutofNetA,0,69161,6
186,HA_CoinsOutofNetComplex,0,0,1
187,HA_CoinsOutofNet,0,0,5
188,HA_CoinsOutofNetA,0,5219,17
189,HH_LIMITED,0,0,2
190,HH_CopayInn_TIERS,0,0,2
191,HH_CopayInnTier1Complex,0,0,1
192,HH_CopayInnTier1,0,0,6
193,HH_CopayInnTier1A,0,43396,19
194,HH_CopayInnTier2Complex,0,0,1
195,HH_CopayInnTier2,0,0,5
196,HH_CopayInnTier2A,0,69800,10
197,HH_CoinsInn_TIERS,0,0,2
198,HH_CoinsInnTier1Complex,0,0,1
199,HH_CoinsInnTier1,0,0,4
200,HH_CoinsInnTier1A,0,31134,18
201,HH_CoinsInnTier2Complex,0,0,1
202,HH_CoinsInnTier2,0,0,3
203,HH_CoinsInnTier2A,0,69703,10
204,HH_CopayOutofNetComplex,0,0,1
205,HH_CopayOutofNet,0,0,6
206,HH_CopayOutofNetA,0,68446,6
207,HH_CoinsOutofNetComplex,0,0,1
208,HH_CoinsOutofNet,0,0,5
209,HH_CoinsOutofNetA,0,6057,17
210,HS_LIMITED,0,0,2
211,HS_CopayInn_TIERS,0,0,2
212,HS_CopayInnTier1Complex,0,0,2
213,HS_CopayInnTier1,0,0,6
214,HS_CopayInnTier1A,0,41251,22
215,HS_CopayInnTier2Complex,0,0,1
216,HS_CopayInnTier2,0,0,5
217,HS_CopayInnTier2A,0,69701,9
218,HS_CoinsInn_TIERS,0,0,2
219,HS_CoinsInnTier1Complex,0,0,1
220,HS_CoinsInnTier1,0,0,4
221,HS_CoinsInnTier1A,0,33279,17
222,HS_CoinsInnTier2Complex,0,0,1
223,HS_CoinsInnTier2,0,0,3
224,HS_CoinsInnTier2A,0,69787,10
225,HS_CopayOutofNetComplex,0,0,1
226,HS_CopayOutofNet,0,0,5
227,HS_CopayOutofNetA,0,68422,7
228,HS_CoinsOutofNetComplex,0,0,1
229,HS_CoinsOutofNet,0,0,5
230,HS_CoinsOutofNetA,0,6081,17
231,IM_LIMITED,0,0,1
232,IM_CopayInn_TIERS,0,0,2
233,IM_CopayInnTier1Complex,0,0,1
234,IM_CopayInnTier1,0,0,6
235,IM_CopayInnTier1A,0,40990,35
236,IM_CopayInnTier2Complex,0,0,1
237,IM_CopayInnTier2,0,0,5
238,IM_CopayInnTier2A,0,69373,16
239,IM_CoinsInn_TIERS,0,0,2
240,IM_CoinsInnTier1Complex,0,0,1
241,IM_CoinsInnTier1,0,0,4
242,IM_CoinsInnTier1A,0,33449,18
243,IM_CoinsInnTier2Complex,0,0,1
244,IM_CoinsInnTier2,0,0,3
245,IM_CoinsInnTier2A,0,69726,11
246,IM_CopayOutofNetComplex,0,0,1
247,IM_CopayOutofNet,0,0,5
248,IM_CopayOutofNetA,0,67364,14
249,IM_CoinsOutofNetComplex,0,0,1
250,IM_CoinsOutofNet,0,0,5
251,IM_CoinsOutofNetA,0,7008,17
252,IB_LIMITED,0,0,1
253,IB_CopayInn_TIERS,0,0,2
254,IB_CopayInnTier1Complex,0,0,2
255,IB_CopayInnTier1,0,0,6
256,IB_CopayInnTier1A,0,39067,30
257,IB_CopayInnTier2Complex,0,0,1
258,IB_CopayInnTier2,0,0,5
259,IB_CopayInnTier2A,0,69167,14
260,IB_CoinsInn_TIERS,0,0,2
261,IB_CoinsInnTier1Complex,0,0,1
262,IB_CoinsInnTier1,0,0,4
263,IB_CoinsInnTier1A,0,35463,17
264,IB_CoinsInnTier2Complex,0,0,1
265,IB_CoinsInnTier2,0,0,3
266,IB_CoinsInnTier2A,0,69128,12
267,IB_CopayOutofNetComplex,0,0,1
268,IB_CopayOutofNet,0,0,6
269,IB_CopayOutofNetA,0,66838,14
270,IB_CoinsOutofNetComplex,0,0,1
271,IB_CoinsOutofNet,0,0,5
272,IB_CoinsOutofNetA,0,7585,17
273,IP_LIMITED,0,0,2
