bid_id	contract_year	version	summ_d0025	summ_d0027	summ_d0028	summ_d0029	summ_d0031	summ_d0032	summ_d0033	summ_d0034	summ_d0055	summ_e0014	summ_e0025	summ_e0027	summ_e0028	summ_e0029	summ_i0023	summ_i0025	summ_i0026	summ_i0027	summ_i0028	summ_i0029	summ_i0030	summ_j0023	summ_j0025	summ_j0026	summ_j0027	summ_j0028	summ_j0029	summ_j0030	summ_k0023	summ_k0025	summ_k0026	summ_k0027	summ_k0028	summ_k0029	summ_k0030	summ_l0013	summ_l0014	summ_l0023	summ_l0025	summ_l0026	summ_l0027	summ_l0028	summ_l0029	summ_l0030	summ_l0031	summ_m0025	summ_m0026	summ_m0027	summ_r0013	summ_r0014	summ_r0022	summ_r0024	summ_r0025	summ_r0027	summ_r0029	summ_r0030	summ_r0031	summ_r0035	summ_r0036	summ_r0041	summ_r0042
E5088_801_0	2012	9	683.9353	60.5311	5.471457042	749.9379	808.9667	736.0487	0.916	0.9098628	06/06/2011	96.4	100.0111	8.5379	0.771742958	109.3207	n/a	0	0	0	0	0	0	n/a	0	0	n/a	n/a	n/a	0	n/a	0	0	n/a	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0	97.76	11.56	96.4			109.32	0	0	109.32	15.26	124.58	124.6		0		0
E6036_801_0	2012	6	*	33.0263	*	396.9955	598.3415	563.4324	0.949168453	0.941656777	06/06/2011	96.4	*	9.9225	*	119.2748	n/a	*	*	0	0	0	*	n/a	7.6003	2.32184708	n/a	n/a	n/a	9.9221	n/a	*	*	n/a	n/a	n/a	*	0	0	119.27	91.36	27.91	0	0	0	119.27	0	91.36	27.91	96.4	91.36	27.91	119.27	-91.36	-27.91	0	0	0	0		0		0
H0084_001_0	2012	9	637.8478	93.6099	-0.830362426	730.6274	953.0777	806.4935	0.861805743	0.846199096	08/04/2011	96.4	28.0544	4.1172	-0.036521753	32.1351	n/a	16.7881	11.26187866	0	7.5	16	51.5499	n/a	2.4638	1.652782269	n/a	n/a	n/a	4.1166	n/a	-0.0219	-0.014660927	n/a	n/a	n/a	-0.0365	0	0	55.63	19.23	12.9	0	7.5	16	55.63	0	19.23	12.91	96.4	19.23	12.9	32.14	-19.23	-12.9	0.01	0	0.01	0	7.5	7.5	16	16
H0084_003_0	2012	7	1749.5534	209.2713	-372.277802	1586.5469	967.2421	1663.2392	1.725453156	1.719568554	08/05/2011	96.4	35.6661	4.2662	-7.589197961	32.3431	n/a	0	35.66270696	0	23.9	0	59.5627	n/a	0	4.265763417	n/a	n/a	n/a	4.2658	n/a	0	-7.588470377	n/a	n/a	n/a	-7.5885	0	0	56.24	0	32.34	0	23.9	0	56.24	0	0	32.34	96.4	0	32.34	32.34	0	-32.34	0	0	0	0	23.9	23.9	0	0
H0084_004_0	2012	6	1042.2135	141.3656	-109.1436605	1074.4354	983.158	1231.3103	1.266981937	1.252403316	08/05/2011	96.4	51.5479	6.9919	-5.398248629	53.1416	n/a	31.2537	20.2926171	0	39.7	22.2	113.4464	n/a	4.2392	2.752485437	n/a	n/a	n/a	6.9917	n/a	-3.273	-2.125102533	n/a	n/a	n/a	-5.3981	0	0	115.04	32.22	20.92	0	39.7	22.2	115.04	0	32.22	20.92	96.4	32.22	20.92	53.14	-32.22	-20.92	0	0	0	0	39.7	39.7	22.2	22.2
H0084_005_0	2012	6	909.3117	125.1614	0.734400992	1035.2075	967.2421	1126.5039	1.170149709	1.164655475	08/05/2011	96.4	32.5448	4.4796	0.026284619	37.0507	n/a	0	32.54419853	0	29.9	0	62.4442	n/a	0	4.479517315	n/a	n/a	n/a	4.4795	n/a	0	0.026284157	n/a	n/a	n/a	0.0263	0	0	66.95	0	37.05	0	29.9	0	66.95	0	0	37.05	96.4	0	37.05	37.05	0	-37.05	0	0	0	0	29.9	29.9	0	0
H0084_006_0	2012	7	1349.3272	162.6706	-278.2125032	1233.7853	796.459	1313.0866	1.654297493	1.648655565	08/05/2011	96.4	37.5715	4.5295	-7.746711382	34.3542	n/a	0	37.56681836	0	23.8	0	61.3668	n/a	0	4.528937176	n/a	n/a	n/a	4.5289	n/a	0	-7.745755538	n/a	n/a	n/a	-7.7458	0	0	58.15	0	34.35	0	23.8	0	58.15	0	0	34.35	96.4	0	34.35	34.35	0	-34.35	0	0	0	0	23.8	23.8	0	0
H0084_007_0	2012	6	783.5907	108.8574	-65.2387571	827.2093	798.2803	995.9073	1.262088288	1.247565976	08/05/2011	96.4	56.9422	7.9105	-4.74078559	60.1118	n/a	36.6025	20.33788919	0	41.3	22.3	120.5404	n/a	5.0849	2.825365512	n/a	n/a	n/a	7.9102	n/a	-3.0474	-1.693254706	n/a	n/a	n/a	-4.7406	0	0	123.71	38.64	21.47	0	41.3	22.3	123.71	0	38.64	21.47	96.4	38.64	21.47	60.11	-38.64	-21.47	0	0	0	0	41.3	41.3	22.3	22.3
H0084_009_0	2012	5	539.6005	73.1673	-41.85273692	570.915	798.2803	600.8201	0.759927853	0.752643083	08/07/2011	96.4	32.4474	4.3997	-2.516699342	34.3304	n/a	11.0866	0	0	0	10.2	21.2866	n/a	1.5033	0	n/a	n/a	n/a	1.5033	n/a	-0.8599	0	n/a	n/a	n/a	-0.8599	0	0	21.93	11.73	0	0	0	10.2	21.93	0	22.06	12.27	96.4	11.73	0	34.33	-11.73	0	22.6	0	22.6	22.6	0	0	10.2	10.2
H0084_010_0	2012	7	1411.6902	165.673	-322.5627052	1254.8005	797.9423	1314.7992	1.65337604	1.647737255	08/05/2011	96.4	35.0999	4.1193	-8.020117227	31.199	n/a	0	35.10098504	0	12.8	0	47.901	n/a	0	4.119378751	n/a	n/a	n/a	4.1194	n/a	0	-8.020363796	n/a	n/a	n/a	-8.0204	0	0	44	0	31.2	0	12.8	0	44	0	0	31.2	96.4	0	31.2	31.2	0	-31.2	0	0	0	0	12.8	12.8	0	0
