,Column_Name,Categories,Missing_Values,Unique_Values
79,EW_CopayOutofNet,0,0,5
80,EW_CopayOutofNetA,0,48067,2
81,EW_CoinsOutofNetComplex,0,0,1
82,EW_CoinsOutofNet,0,0,4
83,EW_CoinsOutofNetA,0,2878,15
84,DT_LIMITED,0,0,2
85,DT_CopayInn_TIERS,0,0,2
86,DT_CopayInnTier1Complex,0,0,2
87,DT_CopayInnTier1,0,0,6
88,DT_CopayInnTier1A,0,29326,38
89,DT_CopayInnTier2Complex,0,0,1
90,DT_CopayInnTier2,0,0,5
91,DT_CopayInnTier2A,0,50040,25
92,DT_CoinsInn_TIERS,0,0,2
93,DT_CoinsInnTier1Complex,0,0,1
94,DT_CoinsInnTier1,0,0,5
95,DT_CoinsInnTier1A,0,22015,15
96,DT_CoinsInnTier2Complex,0,0,1
97,DT_CoinsInnTier2,0,0,2
98,DT_CoinsInnTier2A,0,49291,8
99,DT_CopayOutofNetComplex,0,0,1
100,DT_CopayOutofNet,0,0,4
101,DT_CopayOutofNetA,0,49735,4
102,DT_CoinsOutofNetComplex,0,0,1
103,DT_CoinsOutofNet,0,0,5
104,DT_CoinsOutofNetA,0,993,18
105,DM_LIMITED,0,0,2
106,DM_CopayInn_TIERS,0,0,2
107,DM_CopayInnTier1Complex,0,0,1
108,DM_CopayInnTier1,0,0,6
109,DM_CopayInnTier1A,0,35325,16
110,DM_CopayInnTier2Complex,0,0,1
111,DM_CopayInnTier2,0,0,3
112,DM_CopayInnTier2A,0,50364,1
113,DM_CoinsInn_TIERS,0,0,2
114,DM_CoinsInnTier1Complex,0,0,1
115,DM_CoinsInnTier1,0,0,5
116,DM_CoinsInnTier1A,0,16234,15
117,DM_CoinsInnTier2Complex,0,0,1
118,DM_CoinsInnTier2,0,0,3
119,DM_CoinsInnTier2A,0,49595,8
120,DM_CopayOutofNetComplex,0,0,1
121,DM_CopayOutofNet,0,0,3
122,DM_CopayOutofNetA,0,49866,1
123,DM_CoinsOutofNetComplex,0,0,1
124,DM_CoinsOutofNet,0,0,5
125,DM_CoinsOutofNetA,0,1136,17
126,ER_LIMITED,0,0,2
127,ER_CopayInn_TIERS,0,0,2
128,ER_CopayInnTier1Complex,0,0,2
129,ER_CopayInnTier1,0,0,6
130,ER_CopayInnTier1A,0,15106,36
131,ER_CopayInnTier2Complex,0,0,1
132,ER_CopayInnTier2,0,0,4
133,ER_CopayInnTier2A,0,49615,22
134,ER_CoinsInn_TIERS,0,0,2
135,ER_CoinsInnTier1Complex,0,0,1
136,ER_CoinsInnTier1,0,0,5
137,ER_CoinsInnTier1A,0,36332,15
138,ER_CoinsInnTier2Complex,0,0,1
139,ER_CoinsInnTier2,0,0,2
140,ER_CoinsInnTier2A,0,50396,6
141,ER_CopayOutofNetComplex,0,0,2
142,ER_CopayOutofNet,0,0,6
143,ER_CopayOutofNetA,0,16088,36
144,ER_CoinsOutofNetComplex,0,0,1
145,ER_CoinsOutofNet,0,0,5
146,ER_CoinsOutofNetA,0,35302,15
147,GD_LIMITED,0,0,2
148,GD_CopayInn_TIERS,0,0,2
149,GD_CopayInnTier1Complex,0,0,1
150,GD_CopayInnTier1,0,0,6
151,GD_CopayInnTier1A,0,5550,33
152,GD_CopayInnTier2Complex,0,0,1
153,GD_CopayInnTier2,0,0,5
154,GD_CopayInnTier2A,0,45720,18
155,GD_CoinsInn_TIERS,0,0,2
156,GD_CoinsInnTier1Complex,0,0,1
157,GD_CoinsInnTier1,0,0,4
158,GD_CoinsInnTier1A,0,45842,13
159,GD_CoinsInnTier2Complex,0,0,1
160,GD_CoinsInnTier2,0,0,3
161,GD_CoinsInnTier2A,0,49094,11
162,GD_CopayOutofNetComplex,0,0,1
163,GD_CopayOutofNet,0,0,6
164,GD_CopayOutofNetA,0,45936,19
165,GD_CoinsOutofNetComplex,0,0,1
166,GD_CoinsOutofNet,0,0,5
167,GD_CoinsOutofNetA,0,4866,17
168,HA_LIMITED,0,0,2
169,HA_CopayInn_TIERS,0,0,2
170,HA_CopayInnTier1Complex,0,0,2
171,HA_CopayInnTier1,0,0,6
172,HA_CopayInnTier1A,0,28607,32
173,HA_CopayInnTier2Complex,0,0,1
174,HA_CopayInnTier2,0,0,5
175,HA_CopayInnTier2A,0,50087,19
176,HA_CoinsInn_TIERS,0,0,2
177,HA_CoinsInnTier1Complex,0,0,1
178,HA_CoinsInnTier1,0,0,5
179,HA_CoinsInnTier1A,0,22908,14
180,HA_CoinsInnTier2Complex,0,0,1
181,HA_CoinsInnTier2,0,0,3
182,HA_CoinsInnTier2A,0,49354,9
183,HA_CopayOutofNetComplex,0,0,1
184,HA_CopayOutofNet,0,0,5
185,HA_CopayOutofNetA,0,49676,8
186,HA_CoinsOutofNetComplex,0,0,1
187,HA_CoinsOutofNet,0,0,5
188,HA_CoinsOutofNetA,0,1091,18
189,HH_LIMITED,0,0,2
190,HH_CopayInn_TIERS,0,0,2
191,HH_CopayInnTier1Complex,0,0,1
192,HH_CopayInnTier1,0,0,6
193,HH_CopayInnTier1A,0,29050,18
194,HH_CopayInnTier2Complex,0,0,1
195,HH_CopayInnTier2,0,0,3
196,HH_CopayInnTier2A,0,50216,1
197,HH_CoinsInn_TIERS,0,0,2
198,HH_CoinsInnTier1Complex,0,0,1
199,HH_CoinsInnTier1,0,0,5
200,HH_CoinsInnTier1A,0,22555,16
201,HH_CoinsInnTier2Complex,0,0,1
202,HH_CoinsInnTier2,0,0,3
203,HH_CoinsInnTier2A,0,49799,10
204,HH_CopayOutofNetComplex,0,0,1
205,HH_CopayOutofNet,0,0,4
206,HH_CopayOutofNetA,0,49814,5
207,HH_CoinsOutofNetComplex,0,0,1
208,HH_CoinsOutofNet,0,0,5
209,HH_CoinsOutofNetA,0,1268,18
210,HS_LIMITED,0,0,2
211,HS_CopayInn_TIERS,0,0,2
212,HS_CopayInnTier1Complex,0,0,2
213,HS_CopayInnTier1,0,0,6
214,HS_CopayInnTier1A,0,26615,26
215,HS_CopayInnTier2Complex,0,0,1
216,HS_CopayInnTier2,0,0,4
217,HS_CopayInnTier2A,0,50047,3
218,HS_CoinsInn_TIERS,0,0,2
