,ServiceAreaId,IssuerId,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBInnTier1IndividualMOOP,SBCHavingaBabyDeductible,TEHBCombInnOonIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,act_value,TEHBInnTier1FamilyPerGroupMOOP,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBInnTier1FamilyPerPersonMOOP,SBCHavingDiabetesCoinsurance,SBCHavingaBabyCoinsurance,SBCHavingaBabyCopayment,TEHBCombInnOonFamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingDiabetesCopayment
4931,MOS002,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4932,MOS003,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4933,MOS001,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4934,MOS002,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4935,MOS003,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4936,MOS001,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4937,MOS002,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4938,MOS003,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4939,MOS001,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4940,MOS002,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4941,MOS003,30494,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0
4942,MOS001,30613,0,0,0,0,0,0,0,71.4,0,0.0,0,0,0,0,0,0,0,0
4943,MOS002,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4944,MOS003,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4945,MOS005,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4946,MOS005,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4947,MOS008,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
4948,MOS002,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
4949,MOS002,30613,0,25,0,1,900,0,25200,88.0870759487152,3000,1.0,900,1500,180,600,0,0,50400,420
4950,MOS002,30613,0,25,0,750,500,0,25200,93.2019531726837,1500,1.0,500,750,50,250,0,0,50400,200
4951,MOS002,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4952,MOS002,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4953,MOS002,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4954,MOS002,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4955,MOS002,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4956,MOS002,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4957,MOS002,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4958,MOS002,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4959,MOS003,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
