IssuerId,ServiceAreaId,FirstTierUtilization,BeginPrimaryCareCostSharingAfterNumberOfVisits,BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,CSRVariationTypeBinary,BusinessYear_2019,SourceName_HIOS,SourceName_OPM,SourceName_SERFF,MarketCoverage_Individual,MarketCoverage_SHOP (Small Group),DentalOnlyPlan_No,DentalOnlyPlan_Yes,IsNewPlan_Existing,IsNewPlan_New,PlanType_EPO,PlanType_HMO,PlanType_Indemnity,PlanType_POS,PlanType_PPO,MetalLevel_Bronze,MetalLevel_Catastrophic,MetalLevel_Expanded Bronze,MetalLevel_Gold,MetalLevel_High,MetalLevel_Low,MetalLevel_Platinum,MetalLevel_Silver,DesignType_Design 1,DesignType_Design 2,DesignType_Not Applicable,QHPNonQHPTypeId_Both,QHPNonQHPTypeId_Off the Exchange,QHPNonQHPTypeId_On the Exchange,CompositeRatingOffered_No,CompositeRatingOffered_Yes,ChildOnlyOffering_Allows Adult and Child-Only,ChildOnlyOffering_Allows Adult-Only,ChildOnlyOffering_Allows Child-Only,PlanEffectiveDate_1/1/2017,PlanEffectiveDate_1/1/2018,PlanEffectiveDate_1/1/2019,PlanEffectiveDate_1/2/2019,OutOfCountryCoverage_No,OutOfCountryCoverage_Yes,OutOfServiceAreaCoverage_No,OutOfServiceAreaCoverage_Yes,NationalNetwork_No,NationalNetwork_Yes,MultipleInNetworkTiers_No,MultipleInNetworkTiers_Yes,InpatientCopaymentMaximumDays_0,InpatientCopaymentMaximumDays_2,InpatientCopaymentMaximumDays_3,InpatientCopaymentMaximumDays_4,InpatientCopaymentMaximumDays_5,InpatientCopaymentMaximumDays_10,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
10046,HIS001,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,6.0,0.0,0.9992,5.0,0.0,0.0,6.0,0.0,0.0,0.0,40000.0,20.0,6850.0,20000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12700.0,0.0,1.0,5.0,70.0,0.9992,5.0,0.0,0.0,6.0,60.0,0.0,20.0,40000.0,20.0,6350.0,20000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12700.0,0.0,1.0,2.0,230.0,0.9992,2.0,0.0,0.0,6.0,500.0,0.0,20.0,30000.0,15.0,6350.0,15000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8600.0,0.0,1.0,2.0,230.0,0.9992,2.0,0.0,0.0,4.0,500.0,0.0,20.0,30000.0,15.0,4300.0,15000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,650.0,800.0,110.0,0.9992,800.0,0.0,0.0,1.0,500.0,0.0,20.0,30000.0,15.0,1500.0,15000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,650.0,100.0,130.0,0.9992,100.0,0.0,0.0,750.0,300.0,0.0,0.0,30000.0,15.0,750.0,15000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12700.0,0.0,600.0,1.0,110.0,0.9992,1.0,0.0,0.0,6.0,460.0,0.0,20.0,20000.0,10.0,6350.0,10000.0
10091,ORS002,100.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12900.0,0.0,0.0,6.0,0.0,0.9992,5.0,0.0,0.0,6.0,0.0,0.0,0.0,40000.0,20.0,6450.0,20000.0
