,ServiceAreaId,IssuerId,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
20331,MIS001,29241,13200,0,980,1,460,1.0,1,0,0,6,250,0,10,26400,13,6600,26400
20332,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20333,MIS001,29241,13200,0,980,1,460,1.0,1,0,0,6,250,0,10,26400,13,6600,26400
20334,MIS001,29241,10400,0,1,1,530,1.0,1,0,0,5,280,0,10,20800,10,5200,20800
20335,MIS001,29241,3400,0,1,200,580,1.0,200,0,0,1,400,0,10,6800,3,1700,6800
20336,MIS001,29241,1000,0,400,100,2,1.0,100,0,0,500,190,0,0,2000,1,500,2000
20337,MIS001,29241,12000,0,990,200,560,1.0,200,0,0,6,400,0,10,24000,12,6000,12000
20338,MIS001,29241,12000,0,990,200,560,1.0,200,0,0,6,400,0,10,24000,12,6000,12000
20339,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20340,MIS001,29241,12000,0,990,200,560,1.0,200,0,0,6,400,0,10,24000,12,6000,12000
20341,MIS001,29241,13200,0,1,1,460,1.0,1,0,0,6,260,0,10,26400,13,6600,26400
20342,MIS001,29241,13200,0,1,1,460,1.0,1,0,0,6,260,0,10,26400,13,6600,26400
20343,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20344,MIS001,29241,13200,0,1,1,460,1.0,1,0,0,6,260,0,10,26400,13,6600,26400
20345,MIS001,29241,10800,0,1,1,530,1.0,1,0,0,5,280,0,10,21600,10,5400,21600
20346,MIS001,29241,3200,0,1,50,650,1.0,50,0,0,1,400,0,10,6400,3,1600,6400
20347,MIS001,29241,1000,0,480,25,280,1.0,25,0,0,500,190,0,0,2000,1,500,2000
20348,MIS001,29241,13700,0,1,1,530,1.0,1,0,0,6,280,0,10,27400,13,6850,13700
20349,MIS001,29241,13700,0,1,1,530,1.0,1,0,0,6,280,0,10,27400,13,6850,13700
20350,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20351,MIS001,29241,13700,0,1,1,530,1.0,1,0,0,6,280,0,10,27400,13,6850,13700
20352,MIS001,29241,10800,0,1,1,530,1.0,1,0,0,5,280,0,10,21600,10,5400,10800
20353,MIS001,29241,3200,0,1,50,650,1.0,50,0,0,1,400,0,10,6400,3,1600,3200
20354,MIS001,29241,1000,0,480,25,280,1.0,25,0,0,500,190,0,0,2000,1,500,1000
20355,MIS001,29241,13100,0,0,5,0,1.0,5,0,0,6,0,0,0,30000,15,6550,30000
20356,MIS001,29241,13100,0,0,5,0,1.0,5,0,0,6,0,0,0,30000,15,6550,30000
20357,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20358,MIS001,29241,13100,0,0,5,0,1.0,5,0,0,6,0,0,0,30000,15,6550,30000
20359,MIS001,29241,10200,0,1,1,650,1.0,1,0,0,5,660,0,20,20400,10,5100,20400
20360,MIS001,29241,9400,0,1,1,740,1.0,1,0,0,4,720,0,20,18800,9,4700,18800
20361,MIS001,29241,2800,0,900,500,540,1.0,500,0,0,1,360,0,0,5600,2,1400,5600
20362,MIS001,29698,3200,0,1,50,650,1.0,50,0,0,1,400,0,10,0,0,1600,0
20363,MIS001,29241,800,0,380,25,300,1.0,25,0,0,400,80,0,0,1600,800,400,1600
20364,MIS001,29241,4000,0,650,1,310,1.0,1,0,0,2,340,0,0,8000,4,4000,8000
20365,MIS001,29241,4000,0,650,1,310,1.0,1,0,0,2,340,0,0,8000,4,4000,8000
20366,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20367,MIS001,29241,4000,0,650,1,310,1.0,1,0,0,2,340,0,0,8000,4,4000,8000
